data,alpha,beta,rho,Q,T_w,C_w,Dr,score
map0,1.96123,3.80414,0.168663,123.121,1.30415,5.8984,1.45502,189.016
map0,1.82122,3.39322,0.153551,107.537,2.45494,1.01492,1.28259,175.289
map0,1.38056,3.82595,0.0819793,118.827,1.02181,8.24353,1.4565,242.829
map0,1.89092,3.77179,0.195983,144.067,2.20806,5.00783,1.13743,225.213
map0,2.40795,3.7026,0.141245,70.4737,1.86723,5.06641,1.33905,178.983
map0,2.19,3.2589,0.116714,144.615,1.01774,3.79699,1.42066,192.589
map0,1.55336,4.6813,0.139927,132.06,2.07373,3.96745,1.30947,212.744
map0,1.5437,3.03137,0.138151,108.438,2.39835,5.04044,1.24529,223.763
map0,1.79662,2.09103,0.11864,98.0508,1.21529,2.81712,1.02865,174.123
map0,1.72515,3.22233,0.10562,90.7439,1.32864,2.21088,1.34569,168.666
map0,1.84615,3.5331,0.168404,59.0931,1.61476,5.93143,1.31819,172.2
map0,1.84658,3.9238,0.112007,136.43,2.93128,3.78073,1.45086,235.727
map0,1.97682,2.91138,0.158079,74.9796,1.69463,3.54999,1.3152,170.293
map0,1.9355,3.54047,0.185091,95.6907,1.74256,6.18038,1.31277,191.657
map0,2.31904,3.73417,0.154062,66.9772,1.47253,3.79902,1.14857,165.688
map0,1.87917,3.66562,0.148093,97.7303,1.21643,6.16989,1.41386,184.572
map0,2.17997,2.03059,0.181625,100.046,1.69919,6.25775,1.40631,186.129
map0,1.88733,2.70651,0.0550766,107.969,1.41937,3.19477,1.32483,217.825
map0,1.74819,3.49753,0.11949,128.457,1.6064,2.16903,1.26187,171.978
map0,1.59764,4.57022,0.151055,98.0334,1.72463,2.94016,1.44591,178.861
map1,1.81038,2.40933,0.0203687,127.3,8.90651,2.23258,1.20046,41107.9
map1,2.47201,3.90942,0.122207,119.401,7.83571,1.18807,1.30659,58809
map1,2.34501,3.5983,0.143179,176.919,11.7066,3.53745,1.3035,45846.1
map1,2.05888,3.5568,0.0455941,78.8716,5.89325,4.27834,1.19027,39834.6
map1,2.47714,3.96258,0.189645,134.272,7.97462,2.44189,1.35634,60568.1
