data,test,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25
map0,0,306.922,306.922,306.663,306.663,306.663,306.663,306.663,306.663,298.914,298.914,296.463,277.318,277.318,277.318,277.318,259.611,228.838,221.423,221.423,221.423,221.423,189.016,189.016,189.016,189.016
map0,1,254.901,254.901,254.901,254.901,254.901,254.901,254.901,254.901,233.896,233.896,233.896,233.896,203.854,203.854,203.854,203.854,203.854,197.854,197.854,197.854,195.515,175.289,175.289,175.289,175.289
map0,2,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829,242.829
map0,3,1276.49,885.246,885.246,885.246,885.246,792.323,689.012,689.012,622.281,622.281,579.705,579.705,225.213,225.213,225.213,225.213,225.213,225.213,225.213,225.213,225.213,225.213,225.213,225.213,225.213
map0,4,347.743,347.743,347.743,207.135,207.135,207.135,207.135,207.135,207.135,207.135,207.135,207.135,202.45,202.45,185.284,185.284,185.284,178.983,178.983,178.983,178.983,178.983,178.983,178.983,178.983
map0,5,346.429,346.429,346.429,346.429,346.429,346.429,305.635,271.958,271.958,271.958,269.204,192.589,192.589,192.589,192.589,192.589,192.589,192.589,192.589,192.589,192.589,192.589,192.589,192.589,192.589
map0,6,844.359,844.359,844.359,518.16,518.16,518.16,518.16,518.16,518.16,477.15,477.15,313.37,313.37,310.416,310.416,277.293,277.293,277.293,277.293,242.033,242.033,242.033,242.033,242.033,212.744
map0,7,247.988,247.988,247.988,247.988,247.988,247.988,247.988,247.988,247.988,247.988,247.988,247.988,247.988,247.988,247.988,246.764,241.606,229.087,229.087,223.763,223.763,223.763,223.763,223.763,223.763
map0,8,468.663,468.663,185.248,185.248,185.248,174.123,174.123,174.123,174.123,174.123,174.123,174.123,174.123,174.123,174.123,174.123,174.123,174.123,174.123,174.123,174.123,174.123,174.123,174.123,174.123
map0,9,587.674,587.674,587.674,209.431,209.431,209.431,209.431,209.431,209.431,209.431,209.431,209.431,209.431,209.431,209.431,209.431,209.431,209.431,209.431,209.431,209.431,201.558,201.558,201.558,168.666
map0,10,370.346,259.587,259.587,259.587,250.517,250.517,250.517,230.064,201.415,201.415,201.415,201.415,201.415,201.415,201.415,180.47,180.47,180.47,180.47,180.47,180.47,179.167,174.499,174.499,172.2
map0,11,431.284,431.284,431.284,431.284,431.284,431.284,244.023,244.023,244.023,244.023,244.023,244.023,244.023,244.023,244.023,244.023,244.023,244.023,244.023,244.023,244.023,244.023,244.023,244.023,235.727
map0,12,561.403,561.403,326.559,326.559,220.871,220.871,220.871,220.871,189.423,189.423,189.423,185.018,185.018,185.018,185.018,176.245,176.245,176.245,176.245,176.245,176.245,176.245,176.245,176.245,170.293
map0,13,577.192,577.192,568.105,568.105,553.58,553.58,553.58,320.493,319.252,319.252,319.252,319.252,223.537,223.537,223.537,223.537,223.537,223.537,217.903,217.903,217.903,191.657,191.657,191.657,191.657
map0,14,189.686,189.686,189.686,189.686,189.686,189.686,189.686,189.686,189.686,189.686,189.686,189.686,189.686,175.898,175.898,165.688,165.688,165.688,165.688,165.688,165.688,165.688,165.688,165.688,165.688
map0,15,459.757,459.757,359.981,359.981,340.371,261.147,261.147,249.193,227.7,227.7,206.761,206.761,206.761,206.761,206.761,206.761,206.761,206.761,206.761,196.202,196.202,196.202,196.202,196.202,184.572
map0,16,318.662,318.662,318.662,318.662,318.662,318.662,318.054,318.054,318.054,318.054,306.233,249.741,249.741,249.741,249.741,249.741,249.741,249.741,217.55,186.129,186.129,186.129,186.129,186.129,186.129
map0,17,385.277,385.277,385.277,385.277,369.34,369.34,369.34,369.34,369.34,362.959,324.362,324.362,324.362,324.362,246.676,225.307,225.307,225.307,225.307,225.307,225.307,225.307,217.825,217.825,217.825
map0,18,320.567,320.567,320.567,320.567,320.567,320.567,320.567,320.567,241.192,241.192,241.192,241.192,241.192,241.192,241.192,175.957,175.957,175.957,175.957,171.978,171.978,171.978,171.978,171.978,171.978
map0,19,365.059,365.059,365.059,365.059,365.059,365.059,342.673,342.673,302.847,293.798,293.798,293.78,181.089,181.089,181.089,181.089,181.089,181.089,181.089,181.089,181.089,181.089,181.089,181.089,178.861
map1,0,74150.3,74150.3,74150.3,74150.3,74150.3,61533.1,61533.1,61533.1,56020.2,56020.2,56020.2,41107.9,41107.9,41107.9,41107.9,41107.9,41107.9,41107.9,41107.9,41107.9,41107.9,41107.9,41107.9,41107.9,41107.9
map1,1,122129,113576,113576,113576,100765,95062.5,91999.7,91999.7,87393.2,79795.8,79795.8,79795.8,79344.5,79344.5,79344.5,76856.3,61640.7,61640.7,61640.7,61640.7,58809,58809,58809,58809,58809
map1,2,85374.2,85374.2,85374.2,85374.2,85374.2,85374.2,85374.2,85374.2,85374.2,85374.2,85374.2,85374.2,85374.2,85374.2,85374.2,85374.2,85374.2,59610.4,59610.4,59610.4,59610.4,59610.4,59610.4,59610.4,45846.1
map1,3,107761,85572,85572,85572,85572,85572,85572,58810.8,57666,57666,57666,52285.7,52285.7,41469.8,40097.8,40097.8,40097.8,40097.8,40097.8,40097.8,40097.8,40097.8,40097.8,40097.8,39834.6
map1,4,84332.4,84332.4,84332.4,84332.4,84332.4,70070.2,60568.1,60568.1,60568.1,60568.1,60568.1,60568.1,60568.1,60568.1,60568.1,60568.1,60568.1,60568.1,60568.1,60568.1,60568.1,60568.1,60568.1,60568.1,60568.1
map1,5,106738,106738,106738,106738,106738,106738,63922.8,63922.8,63922.8,63922.8,63922.8,63922.8,63922.8,63922.8,63922.8,63922.8,63922.8,63922.8,62984.8,62984.8,62984.8,54101.8,54101.8,54101.8,54101.8
map1,6,95608.1,73779.1,61351.5,61351.5,61351.5,61351.5,61351.5,55390.5,55390.5,55390.5,55390.5,53913.9,53913.9,43651.3,43651.3,43651.3,43651.3,43651.3,43651.3,43651.3,43651.3,43651.3,43651.3,43651.3,43651.3
map1,7,67519.7,67519.7,67519.7,67519.7,67519.7,59733,59733,59733,42921.1,39854.3,39854.3,39854.3,39854.3,39854.3,39854.3,39854.3,39854.3,39854.3,39854.3,39854.3,39854.3,39854.3,39854.3,39854.3,39854.3
map1,8,137067,58945.7,58945.7,58945.7,58945.7,58945.7,58945.7,58945.7,58945.7,58945.7,58945.7,58945.7,58945.7,50800.1,50800.1,50800.1,50800.1,50800.1,50800.1,46597.9,46597.9,46597.9,46597.9,37738.7,37738.7
map1,9,135498,135498,135498,131034,106230,85733.5,85733.5,85733.5,85733.5,85733.5,85733.5,85733.5,85733.5,85733.5,81553.6,72919.6,72919.6,71521.4,71521.4,71521.4,71521.4,64925.4,64925.4,64925.4,64925.4
map1,10,86458.1,86458.1,86458.1,86458.1,86458.1,82308.6,59193,59193,59193,59193,59193,34848.2,34848.2,34848.2,34848.2,34848.2,34848.2,21952.6,21952.6,21952.6,21952.6,21952.6,21952.6,21952.6,21952.6
map1,11,124382,124382,124382,124382,124382,124382,124382,90508.4,89032.2,89032.2,77551.1,77551.1,75524.3,75524.3,75524.3,59181.6,59181.6,59181.6,59181.6,59181.6,54290.1,54290.1,54290.1,54290.1,42563
map1,12,121134,82208.7,82208.7,82208.7,82208.7,82208.7,82208.7,80308.4,80308.4,80308.4,80308.4,80308.4,80308.4,74797.3,74797.3,74797.3,74797.3,74797.3,71277.7,71277.7,68599.3,68599.3,64171,64171,64171
